,Date,Month,Year,Ambeghar,Chaskman,Daund,Khadakwasla_Reservoir,Khamgaon,Others,Panshet_Reservoir,Paud,Pavana_Reservoir,River,Temp
0,12,7,2020,0,0,0,0,0,1,0,0,0,1,27.611000022888184
1,20,3,2050,1,0,0,0,0,0,0,0,0,0,25.7275
