,Date,Month,Year,Ambeghar,Chaskman,Daund,Khadakwasla_Reservoir,Khamgaon,Others,Panshet_Reservoir,Paud,Pavana_Reservoir,River,pH_GEN
0,12,7,2020,0,0,0,0,0,1,0,0,0,1,8.35870008945465
1,20,3,2050,1,0,0,0,0,0,0,0,0,0,7.598800134658814
